Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,HAL,36594,OPTSTK,PE,5000,HINDUSTAN AERONAUTICS LTD,HAL MAY 5000 PE,HAL29MAY25P5000,2025-05-29,150,0.05
NFO,nse_fo,011NSETEST,36687,FUTSTK,XX,-1,011NSETEST,011NSETEST NOV36 FUT,011NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,NIFTY,36688,OPTIDX,CE,19500,NIFTY,NIFTY 24th DEC 19500 CE,NIFTY24DEC25C19500,2025-12-24,75,0.05
NFO,nse_fo,021NSETEST,36690,FUTSTK,XX,-1,021NSETEST,021NSETEST NOV36 FUT,021NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,031NSETEST,36691,FUTSTK,XX,-1,031NSETEST,031NSETEST NOV36 FUT,031NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,041NSETEST,36694,FUTSTK,XX,-1,041NSETEST,041NSETEST NOV36 FUT,041NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,051NSETEST,36697,FUTSTK,XX,-1,051NSETEST,051NSETEST NOV36 FUT,051NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,061NSETEST,36700,FUTSTK,XX,-1,061NSETEST,061NSETEST NOV36 FUT,061NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,071NSETEST,36702,FUTSTK,XX,-1,071NSETEST,071NSETEST NOV36 FUT,071NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,081NSETEST,36709,FUTSTK,XX,-1,081NSETEST,081NSETEST NOV36 FUT,081NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,091NSETEST,36713,FUTSTK,XX,-1,091NSETEST,091NSETEST NOV36 FUT,091NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,101NSETEST,36715,FUTSTK,XX,-1,101NSETEST,101NSETEST NOV36 FUT,101NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,111NSETEST,36716,FUTSTK,XX,-1,111NSETEST,111NSETEST NOV36 FUT,111NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,121NSETEST,36718,FUTSTK,XX,-1,121NSETEST,121NSETEST NOV36 FUT,121NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,131NSETEST,36720,FUTSTK,XX,-1,131NSETEST,131NSETEST NOV36 FUT,131NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,141NSETEST,36721,FUTSTK,XX,-1,141NSETEST,141NSETEST NOV36 FUT,141NSETEST27NOV36F,2036-11-27,50,0.05
