Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPUSD,5212,OPTCUR,PE,1.385,GBPUSD,GBPUSD26SEP25P1.385,GBPUSD 26th SEP 1.385 PE,2025-09-26,1,0.0001
CDS,cde_fo,EURINR,5213,OPTCUR,CE,86,EURINR,EURINR26SEP25C86,EURINR 26th SEP 86 CE,2025-09-26,1,0.0025
CDS,cde_fo,EURINR,5214,OPTCUR,PE,86,EURINR,EURINR26SEP25P86,EURINR 26th SEP 86 PE,2025-09-26,1,0.0025
CDS,cde_fo,GBPUSD,5215,OPTCUR,CE,1.115,GBPUSD,GBPUSD26SEP25C1.115,GBPUSD 26th SEP 1.115 CE,2025-09-26,1,0.0001
CDS,cde_fo,GBPUSD,5216,OPTCUR,PE,1.115,GBPUSD,GBPUSD26SEP25P1.115,GBPUSD 26th SEP 1.115 PE,2025-09-26,1,0.0001
CDS,cde_fo,GBPUSD,5217,OPTCUR,CE,1.115,GBPUSD,GBPUSD29DEC25C1.115,GBPUSD DEC 1.115 CE,2025-12-29,1,0.0001
CDS,cde_fo,GBPUSD,5218,OPTCUR,PE,1.115,GBPUSD,GBPUSD29DEC25P1.115,GBPUSD DEC 1.115 PE,2025-12-29,1,0.0001
CDS,cde_fo,JPYINR,5219,OPTCUR,CE,48,JPYINR,JPYINR29DEC25C48,JPYINR DEC 48 CE,2025-12-29,1,0.0025
CDS,cde_fo,GBPINR,5220,OPTCUR,PE,104.25,GBPINR,GBPINR17APR25P104.25,GBPINR 17th APR 104.25 PE,2025-04-17,1,0.0025
CDS,cde_fo,EURINR,5221,OPTCUR,PE,92.25,EURINR,EURINR28APR25P92.25,EURINR APR 92.25 PE,2025-04-28,1,0.0025
CDS,cde_fo,GBPINR,5222,OPTCUR,PE,115.5,GBPINR,GBPINR13JUN25P115.5,GBPINR 13th JUN 115.5 PE,2025-06-13,1,0.0025
CDS,cde_fo,GBPINR,5223,OPTCUR,CE,115.75,GBPINR,GBPINR13JUN25C115.75,GBPINR 13th JUN 115.75 CE,2025-06-13,1,0.0025
CDS,cde_fo,GBPINR,5224,OPTCUR,PE,115.75,GBPINR,GBPINR13JUN25P115.75,GBPINR 13th JUN 115.75 PE,2025-06-13,1,0.0025
CDS,cde_fo,GBPINR,5225,OPTCUR,CE,116,GBPINR,GBPINR13JUN25C116,GBPINR 13th JUN 116 CE,2025-06-13,1,0.0025
CDS,cde_fo,JPYINR,5226,OPTCUR,CE,61.25,JPYINR,JPYINR26JUN25C61.25,JPYINR 26th JUN 61.25 CE,2025-06-26,1,0.0025
CDS,cde_fo,JPYINR,5227,OPTCUR,CE,56.25,JPYINR,JPYINR09MAY25C56.25,JPYINR 9th MAY 56.25 CE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5228,OPTCUR,PE,56.25,JPYINR,JPYINR09MAY25P56.25,JPYINR 9th MAY 56.25 PE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5229,OPTCUR,PE,61.25,JPYINR,JPYINR26JUN25P61.25,JPYINR 26th JUN 61.25 PE,2025-06-26,1,0.0025
CDS,cde_fo,JPYINR,5230,OPTCUR,CE,61.5,JPYINR,JPYINR26JUN25C61.5,JPYINR 26th JUN 61.5 CE,2025-06-26,1,0.0025
CDS,cde_fo,JPYINR,5231,OPTCUR,CE,56.5,JPYINR,JPYINR09MAY25C56.5,JPYINR 9th MAY 56.5 CE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5232,OPTCUR,PE,56.5,JPYINR,JPYINR09MAY25P56.5,JPYINR 9th MAY 56.5 PE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5233,OPTCUR,CE,62.25,JPYINR,JPYINR16MAY25C62.25,JPYINR 16th MAY 62.25 CE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5234,OPTCUR,PE,62.25,JPYINR,JPYINR16MAY25P62.25,JPYINR 16th MAY 62.25 PE,2025-05-16,1,0.0025
CDS,cde_fo,EURUSD,5235,OPTCUR,PE,1.16,EURUSD,EURUSD28MAY25P1.16,EURUSD MAY 1.16 PE,2025-05-28,1,0.0001
