Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,TRANSWIND,202490,E,TRANSWIND INFRA LIMITED,TRANSWIND,4000,0.05,TRANSWIND
BSE,bse_cm,SUMIT,202533,E,SUMIT WOODS LIMITED,SUMIT,1,0.01,SUMIT
BSE,bse_cm,VERA,202708,E,VERA SYNTHETIC LIMITED,VERA,1500,0.05,VERA
BSE,bse_cm,PASHUPATI,202726,E,PASHUPATI COTSPIN LIMITED,PASHUPATI,200,0.05,PASHUPATI
BSE,bse_cm,SVLL,202807,E,SHREE VASU LOGISTICS LTD,SVLL,1,0.05,SVLL
BSE,bse_cm,AKG,202866,E,AKG EXIM LIMITED,AKG,1,0.01,AKG
BSE,bse_cm,AKASH,202949,E,AKASH INFRA-PROJECTS LTD,AKASH,1,0.01,AKASH
BSE,bse_cm,AGROPHOS,202972,E,AGRO PHOS INDIA LIMITED,AGROPHOS,1,0.01,AGROPHOS
BSE,bse_cm,HECPROJECT,202985,E,HEC INFRA PROJECTS LTD,HECPROJECT,1,0.01,HECPROJECT
BSE,bse_cm,VASA,203016,E,VASA RETAIL & OVERSEA LTD,VASA,4000,0.05,VASA
BSE,bse_cm,MDL,203071,E,MARVEL DECOR LIMITED,MDL,1000,0.05,MDL
BSE,bse_cm,BANKA,203099,E,BANKA BIOLOO LIMITED,BANKA,1,0.01,BANKA
BSE,bse_cm,SOLEX,203111,E,SOLEX ENERGY LIMITED,SOLEX,125,0.05,SOLEX
BSE,bse_cm,EMKAYTOOLS,203139,E,EMKAY TAP & CUT. TOOL LTD,EMKAYTOOLS,150,0.05,EMKAYTOOLS
BSE,bse_cm,OMFURN,203162,E,OMFURN INDIA LIMITED,OMFURN,2400,0.05,OMFURN
BSE,bse_cm,MANAV,203203,E,MANAV INFRA PROJECTS LTD,MANAV,4000,0.05,MANAV
BSE,bse_cm,MMP,203210,E,MMP INDUSTRIES LIMITED,MMP,1,0.05,MMP
BSE,bse_cm,AARON,203282,E,AARON INDUSTRIES LIMITED,AARON,1,0.05,AARON
BSE,bse_cm,RMDRIP,203354,E,R M DRIP & SPRINK SYS LTD,RMDRIP,500,0.05,RMDRIP
BSE,bse_cm,KOTHARIPET,203356,E,KOTHARI PETROCHEM LTD,KOTHARIPET,1,0.01,KOTHARIPET
BSE,bse_cm,SPCENET,203377,E,SPACENET ENTERS IND LTD,SPCENET,1,0.01,SPCENET
BSE,bse_cm,CONTI,203459,E,CONTINENTAL SEED CHEM LTD,CONTI,3333,0.05,CONTI
BSE,bse_cm,AIROLAM,203532,E,AIRO LAM LIMITED,AIROLAM,1,0.01,AIROLAM
BSE,bse_cm,CONSOFINVT,203559,E,CONSO. FIN. & HOLD. LTD.,CONSOFINVT,1,0.01,CONSOFINVT
BSE,bse_cm,MBAPL,203569,E,MADHYA BHARAT AGRO P. LTD,MBAPL,1,0.05,MBAPL
BSE,bse_cm,TOTAL,203634,E,TOTAL TRANSPORT SYS LTD,TOTAL,1,0.01,TOTAL
BSE,bse_cm,JAIPURKURT,203667,E,NANDANI CREATION LIMITED,JAIPURKURT,1,0.01,JAIPURKURT
BSE,bse_cm,BETA,203739,E,BETA DRUGS LIMITED,BETA,105,0.05,BETA
BSE,bse_cm,TIRUPATI,203793,E,SHREE TIRUPATI BALAJEE,TIRUPATI,250,0.05,TIRUPATI
BSE,bse_cm,NITIRAJ,203799,E,NITIRAJ ENGINEERS LTD,NITIRAJ,1,0.05,NITIRAJ
BSE,bse_cm,ZOTA,203811,E,ZOTA HEALTH CARE LIMITED,ZOTA,1,0.05,ZOTA
BSE,bse_cm,KOTARISUG,203887,E,KOTHARI SUG & CHEM LTD.,KOTARISUG,1,0.01,KOTARISUG
BSE,bse_cm,PRITI,204000,E,PRITI INTERNATIONAL LTD,PRITI,1,0.01,PRITI
BSE,bse_cm,GRETEX,204026,E,GRETEX INDUSTRIES LTD.,GRETEX,750,0.05,GRETEX
BSE,bse_cm,SAGARDEEP,204170,E,SAGARDEEP ALLOYS LIMITED,SAGARDEEP,1,0.01,SAGARDEEP
BSE,bse_cm,JOCIL,204263,E,JOCIL LIMITED,JOCIL,1,0.01,JOCIL
